Subject,ROI,Embedding,Model,2V2 Accuracy,Pearson Correlation,Rank Accuracy,Top-5 Accuracy
subj1,language,SBERT1,Individual,0.9958128008192524,0.27872970187960433,5.0,0.5396825396825397
subj1,language,SBERT2,Individual,0.9966611367127497,0.2869034744310332,5.0,0.5555555555555556
subj1,language,T5,Individual,0.9543885304659497,0.2713868424736931,46.0,0.16
subj1,language,CLIP,Individual,0.994937019969278,0.27836541275702426,5.0,0.5238095238095238
subj1,vision,SBERT1,Individual,0.9968933947772657,0.28937080951623073,5.0,0.5317460317460317
subj1,vision,SBERT2,Individual,0.9975356886840757,0.29720132273599054,4.0,0.6349206349206349
subj1,vision,T5,Individual,0.9617695852534561,0.2765202867978263,42.0,0.184
subj1,vision,CLIP,Individual,0.997326779313876,0.2991294316465737,6.0,0.47619047619047616
subj1,task,SBERT1,Individual,0.9977388632872504,0.32759975699412924,4.0,0.5555555555555556
subj1,task,SBERT2,Individual,0.997842089093702,0.33720477898519063,4.0,0.6190476190476191
subj1,task,T5,Individual,0.9630349206349205,0.2862322712379736,72.0,0.096
subj1,task,CLIP,Individual,0.9977900665642601,0.3368223649390044,6.0,0.49206349206349204
subj1,dmn,SBERT1,Individual,0.9969433691756272,0.3027916815328536,4.0,0.5952380952380952
subj1,dmn,SBERT2,Individual,0.9978961597542243,0.3085602211474142,4.0,0.6111111111111112
subj1,dmn,T5,Individual,0.9487418330773171,0.2597550127459049,80.0,0.08
subj1,dmn,CLIP,Individual,0.9958431131592421,0.30420096093591864,5.0,0.5079365079365079
subj1,Multi-ROI,SBERT1,Stacked,0.9991029185867897,0.3735023883625611,4.0,0.64
subj1,Multi-ROI,SBERT2,Stacked,0.9994617511520737,0.3838587027476765,3.0,0.7936507936507936
subj1,Multi-ROI,T5,Stacked,0.981405427547363,0.34407209423829677,31.0,0.232
subj1,Multi-ROI,CLIP,Stacked,0.9988944188428059,0.37920758231709306,4.0,0.626984126984127
subj2,language,SBERT1,Individual,0.9954842805939579,0.2894714376794275,5.0,0.512
subj2,language,SBERT2,Individual,0.9967668202764978,0.2915707755076932,4.0,0.56
subj2,language,T5,Individual,0.9548624679979518,0.2633035731803032,53.0,0.12
subj2,language,CLIP,Individual,0.9946932923707117,0.29185945283711806,6.0,0.49206349206349204
subj2,vision,SBERT1,Individual,0.9966136200716846,0.29809750070880353,6.0,0.46825396825396826
subj2,vision,SBERT2,Individual,0.9966398361495136,0.30224395084301775,4.0,0.632
subj2,vision,T5,Individual,0.9522183307731694,0.26050395586526987,57.0,0.088
subj2,vision,CLIP,Individual,0.9942562211981567,0.30267986736738495,4.0,0.56
subj2,task,SBERT1,Individual,0.9956845878136201,0.3126032319326624,4.5,0.5634920634920635
subj2,task,SBERT2,Individual,0.9966574500768051,0.314790841257211,5.0,0.5634920634920635
subj2,task,T5,Individual,0.941352585765489,0.25207938418410025,63.0,0.144
subj2,task,CLIP,Individual,0.9953503328213007,0.3228868760741654,4.0,0.5634920634920635
subj2,dmn,SBERT1,Individual,0.9961953917050692,0.3033851752993477,5.0,0.5714285714285714
subj2,dmn,SBERT2,Individual,0.9969962109575012,0.30736756321271186,4.0,0.5873015873015873
subj2,dmn,T5,Individual,0.9498789554531489,0.25706000604775414,49.0,0.176
subj2,dmn,CLIP,Individual,0.9954064516129033,0.3059312774304991,5.0,0.5634920634920635
subj2,Multi-ROI,SBERT1,Stacked,0.9980772145417307,0.35881435920565524,4.0,0.64
subj2,Multi-ROI,SBERT2,Stacked,0.998410650281618,0.36486634550220975,4.0,0.712
subj2,Multi-ROI,T5,Stacked,0.9717284178187404,0.31152839470089777,34.0,0.152
subj2,Multi-ROI,CLIP,Stacked,0.9972817204301077,0.3673113494463161,4.0,0.6587301587301587
