Subject,ROI,POS Masked,2V2 Accuracy,Pearson Correlation
subj1,language,Nouns,0.7692780337941627,0.2373651854731694
subj1,vision,Nouns,0.7336917562724015,0.25949739779359343
subj1,task,Nouns,0.6889912954429083,0.18402467356397062
subj1,dmn,Nouns,0.6602662570404505,0.20762375036617184
subj2,language,Nouns,0.6699948796722989,0.156896055876166
subj2,vision,Nouns,0.6859190988223246,0.1333219728254171
subj2,task,Nouns,0.6253968253968254,0.08329267371435838
subj2,dmn,Nouns,0.6154121863799282,0.12283535482397004
subj1,language,Verbs,0.8206349206349206,0.3059255606742515
subj1,vision,Verbs,0.7755760368663595,0.2999699211551343
subj1,task,Verbs,0.7373271889400922,0.24171803339962833
subj1,dmn,Verbs,0.695442908346134,0.2755607706358661
subj2,language,Verbs,0.7661034306195598,0.2579279037110718
subj2,vision,Verbs,0.7949820788530465,0.2527304057883089
subj2,task,Verbs,0.7242191500256017,0.1981342605592178
subj2,dmn,Verbs,0.6987199180747566,0.22146850638204563
subj1,language,Adjectives,0.8397337429595494,0.3255939209573987
subj1,vision,Adjectives,0.7915002560163851,0.3184121231527679
subj1,task,Adjectives,0.7722990271377368,0.25726480921765826
subj1,dmn,Adjectives,0.7628776241679468,0.293312742263593
subj2,language,Adjectives,0.8010240655401946,0.2882273347267686
subj2,vision,Adjectives,0.8141833077316949,0.27890491711172544
subj2,task,Adjectives,0.750025601638505,0.22397139150937212
subj2,dmn,Adjectives,0.7369175627240143,0.26158461198024335
